2022-01-01 02:36:18.978 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:36:18.988 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2022-01-01 02:36:19.206 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:36:19.210 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:36:19.210 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:36:19.210 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:36:19.242 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:36:19.242 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 584 ms
2022-01-01 02:36:19.740 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:36:19.748 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:36:19.812 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 1.391 seconds (JVM running for 1.684)
2022-01-01 02:36:22.704 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:36:22.704 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:36:22.705 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-01 02:36:25.886 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Starting...
2022-01-01 02:36:26.395 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Start completed.
2022-01-01 02:37:42.286 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown initiated...
2022-01-01 02:37:42.289 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown completed.
2022-01-01 02:37:43.696 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 73155 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:37:43.697 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:37:44.034 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:37:44.035 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:37:44.044 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2022-01-01 02:37:44.261 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:37:44.265 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:37:44.265 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:37:44.265 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:37:44.297 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:37:44.297 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 582 ms
2022-01-01 02:37:44.795 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:37:44.803 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:37:44.867 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 1.396 seconds (JVM running for 1.748)
2022-01-01 02:37:56.520 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:37:56.521 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:37:56.522 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-01 02:38:03.091 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Starting...
2022-01-01 02:38:03.645 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Start completed.
2022-01-01 02:38:31.136 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown initiated...
2022-01-01 02:38:31.139 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown completed.
2022-01-01 02:38:32.474 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 73167 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:38:32.475 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:38:32.818 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:38:32.819 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:38:32.828 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2022-01-01 02:38:33.045 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:38:33.049 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:38:33.049 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:38:33.049 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:38:33.081 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:38:33.081 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 588 ms
2022-01-01 02:38:33.580 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:38:33.589 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:38:33.652 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 1.402 seconds (JVM running for 1.719)
2022-01-01 02:38:37.673 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
